detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-INT8-P15,POSTERv2,9,8,6,3
YOLO-INT8-P15,POSTERv2,10,4,4,2
YOLO-INT8-P15,POSTERv2,11,5,5,4
YOLO-INT8-P15,POSTERv2,12,5,4,1
YOLO-INT8-P15,POSTERv2,13,9,8,3
YOLO-INT8-P15,POSTERv2,14,5,3,2
YOLO-INT8-P15,POSTERv2,15,5,5,1
YOLO-INT8-P15,POSTERv2,16,5,5,3
YOLO-INT8-P15,POSTERv2,17,3,3,0
YOLO-INT8-P15,POSTERv2,18,6,6,2
YOLO-INT8-P15,POSTERv2,19,4,4,1
RT-DETR-FP32,POSTERv2,0,12,12,8
RT-DETR-FP32,POSTERv2,1,9,9,1
RT-DETR-FP32,POSTERv2,2,11,10,8
RT-DETR-FP32,POSTERv2,3,4,4,3
RT-DETR-FP32,POSTERv2,4,9,8,3
RT-DETR-FP32,POSTERv2,5,4,4,2
RT-DETR-FP32,POSTERv2,6,4,4,1
RT-DETR-FP32,POSTERv2,7,4,4,2
RT-DETR-FP32,POSTERv2,8,16,14,3
RT-DETR-FP32,POSTERv2,9,8,8,4
RT-DETR-FP32,POSTERv2,10,4,4,2
RT-DETR-FP32,POSTERv2,11,5,5,4
RT-DETR-FP32,POSTERv2,12,5,4,2
RT-DETR-FP32,POSTERv2,13,9,9,3
RT-DETR-FP32,POSTERv2,14,5,3,2
RT-DETR-FP32,POSTERv2,15,5,5,2
RT-DETR-FP32,POSTERv2,16,5,5,3
RT-DETR-FP32,POSTERv2,17,3,3,0
RT-DETR-FP32,POSTERv2,18,6,6,2
RT-DETR-FP32,POSTERv2,19,4,4,1
YOLO-FP32-Base,PCNN,0,12,12,6
YOLO-FP32-Base,PCNN,1,9,9,3
YOLO-FP32-Base,PCNN,2,11,10,7
YOLO-FP32-Base,PCNN,3,4,4,0
YOLO-FP32-Base,PCNN,4,9,8,2
YOLO-FP32-Base,PCNN,5,4,4,2
YOLO-FP32-Base,PCNN,6,4,4,4
YOLO-FP32-Base,PCNN,7,4,4,2
YOLO-FP32-Base,PCNN,8,16,13,3
YOLO-FP32-Base,PCNN,9,8,8,2
YOLO-FP32-Base,PCNN,10,4,4,2
YOLO-FP32-Base,PCNN,11,5,5,1
YOLO-FP32-Base,PCNN,12,5,5,4
YOLO-FP32-Base,PCNN,13,9,9,2
YOLO-FP32-Base,PCNN,14,5,4,0
YOLO-FP32-Base,PCNN,15,5,5,3
YOLO-FP32-Base,PCNN,16,5,5,4
YOLO-FP32-Base,PCNN,17,3,3,0
YOLO-FP32-Base,PCNN,18,6,6,5
YOLO-FP32-Base,PCNN,19,4,4,0
YOLO-FP32-P10,PCNN,0,12,12,8
YOLO-FP32-P10,PCNN,1,9,9,3
YOLO-FP32-P10,PCNN,2,11,9,4
YOLO-FP32-P10,PCNN,3,4,4,0
YOLO-FP32-P10,PCNN,4,9,7,2
YOLO-FP32-P10,PCNN,5,4,4,2
YOLO-FP32-P10,PCNN,6,4,4,4
YOLO-FP32-P10,PCNN,7,4,4,2
YOLO-FP32-P10,PCNN,8,16,14,2
YOLO-FP32-P10,PCNN,9,8,8,1
YOLO-FP32-P10,PCNN,10,4,4,3
YOLO-FP32-P10,PCNN,11,5,5,1
YOLO-FP32-P10,PCNN,12,5,4,3
YOLO-FP32-P10,PCNN,13,9,9,2
YOLO-FP32-P10,PCNN,14,5,4,0
YOLO-FP32-P10,PCNN,15,5,5,3
YOLO-FP32-P10,PCNN,16,5,5,3
YOLO-FP32-P10,PCNN,17,3,3,0
YOLO-FP32-P10,PCNN,18,6,6,5
YOLO-FP32-P10,PCNN,19,4,4,0
YOLO-FP32-P15,PCNN,0,12,12,7
YOLO-FP32-P15,PCNN,1,9,9,4
YOLO-FP32-P15,PCNN,2,11,11,6
YOLO-FP32-P15,PCNN,3,4,4,0
YOLO-FP32-P15,PCNN,4,9,7,2
YOLO-FP32-P15,PCNN,5,4,4,2
YOLO-FP32-P15,PCNN,6,4,4,4
YOLO-FP32-P15,PCNN,7,4,4,1
YOLO-FP32-P15,PCNN,8,16,15,5
YOLO-FP32-P15,PCNN,9,8,8,2
YOLO-FP32-P15,PCNN,10,4,4,2
YOLO-FP32-P15,PCNN,11,5,5,2
YOLO-FP32-P15,PCNN,12,5,4,1
YOLO-FP32-P15,PCNN,13,9,9,2
YOLO-FP32-P15,PCNN,14,5,3,0
YOLO-FP32-P15,PCNN,15,5,5,3
YOLO-FP32-P15,PCNN,16,5,5,2
YOLO-FP32-P15,PCNN,17,3,3,0
YOLO-FP32-P15,PCNN,18,6,6,4
YOLO-FP32-P15,PCNN,19,4,4,0
YOLO-FP16-P10,PCNN,0,12,12,6
YOLO-FP16-P10,PCNN,1,9,9,5
YOLO-FP16-P10,PCNN,2,11,10,5
YOLO-FP16-P10,PCNN,3,4,4,0
YOLO-FP16-P10,PCNN,4,9,7,2
YOLO-FP16-P10,PCNN,5,4,4,2
YOLO-FP16-P10,PCNN,6,4,4,4
YOLO-FP16-P10,PCNN,7,4,4,2
YOLO-FP16-P10,PCNN,8,16,14,3
YOLO-FP16-P10,PCNN,9,8,8,1
YOLO-FP16-P10,PCNN,10,4,4,2
YOLO-FP16-P10,PCNN,11,5,5,1
YOLO-FP16-P10,PCNN,12,5,4,3
YOLO-FP16-P10,PCNN,13,9,9,3
YOLO-FP16-P10,PCNN,14,5,4,0
YOLO-FP16-P10,PCNN,15,5,5,3
YOLO-FP16-P10,PCNN,16,5,5,3
YOLO-FP16-P10,PCNN,17,3,3,0
